,selling_price
0,450000
1,370000
2,158000
3,225000
4,130000
5,440000
6,96000
8,350000
9,200000
10,500000
11,92000
12,280000
14,180000
15,400000
16,778000
17,500000
18,150000
19,680000
20,174000
21,950000
22,525000
23,600000
24,500000
25,575000
26,275000
27,300000
28,220000
29,254999
30,670000
32,150000
33,730000
34,650000
35,330000
36,366000
37,1149000
38,150000
39,425000
40,150000
41,2100000
42,925000
43,425000
44,675000
45,819999
46,390000
47,1500000
48,700000
49,1450000
50,425000
51,1090000
52,600000
53,850000
54,525000
55,1650000
56,950000
57,1750000
58,1590000
59,1689999
60,1425000
61,265000
62,190000
63,425000
64,630000
65,600000
66,650000
67,540000
68,630000
69,448000
70,500000
71,745000
72,1025000
73,235000
74,630000
75,1700000
76,450000
77,450000
79,450000
80,1200000
81,610000
82,2500000
83,484999
84,275000
85,315000
86,275000
88,290000
89,280000
90,225000
91,455000
92,351000
93,535000
94,175000
95,525000
96,600000
97,565000
98,120000
99,725000
100,185000
101,200000
102,615000
103,270000
104,610000
105,625000
106,400000
107,866000
108,700000
109,300000
110,1700000
111,375000
112,522000
113,451999
114,300000
115,475000
116,780000
117,595000
118,440000
120,400000
121,1140000
122,850000
123,370000
124,350000
125,360000
126,105000
127,625000
128,135000
129,700000
130,690000
131,3975000
132,5150000
133,3200000
134,4100000
135,4500000
136,6000000
137,3790000
139,5800000
140,1864999
141,2700000
142,1750000
143,795000
144,625000
145,3400000
146,2650000
147,535000
148,5850000
149,975000
150,805000
151,2625000
152,811000
153,375000
154,550000
155,645000
156,2550000
157,599000
158,2700000
159,875000
160,894999
161,175000
162,340000
163,1525000
164,1025000
165,2150000
166,1900000
167,2900000
168,450000
169,850000
170,10000000
171,300000
172,575000
173,160000
174,515000
175,390000
176,550000
178,220000
179,425000
180,480000
181,400000
182,487000
183,386000
184,100000
185,300000
187,1750000
188,450000
189,490000
190,345000
191,85000
192,215000
193,320000
194,459999
195,65000
196,720000
197,800000
198,520000
199,580000
201,600000
202,290000
203,360000
204,550000
205,375000
207,420000
208,550000
209,270000
210,700000
211,500000
212,1250000
213,320000
214,700000
215,290000
216,550000
217,265000
218,830000
219,800000
220,160000
221,335000
222,329000
223,775000
224,524000
225,245000
226,275000
227,520000
229,550000
230,910000
231,300000
232,350000
233,900000
234,300000
235,250000
236,1100000
237,270000
238,640000
239,650000
240,409999
241,165000
242,80000
243,535000
244,700000
245,550000
246,680000
247,200000
248,500000
249,1000000
250,110000
251,320000
253,350000
254,170000
255,800000
256,500000
257,1380000
258,1300000
259,530000
260,360000
261,310000
262,725000
263,340000
264,550000
265,1150000
266,380000
267,350000
268,610000
269,525000
270,480000
271,780000
272,320000
273,375000
274,300000
275,500000
277,500000
278,350000
279,380000
280,114999
281,335000
282,465000
283,290000
284,110000
285,450000
286,400000
287,210000
288,4600000
289,220000
290,450000
291,450000
292,290000
293,520000
294,265000
295,330000
296,330000
297,509999
298,500000
299,525000
300,675000
301,300000
302,90000
303,650000
304,409000
305,395000
307,400000
308,120000
309,645000
310,81000
311,1300000
312,1250000
313,535000
314,555000
315,725000
317,229999
318,800000
319,409999
320,1210000
321,400000
322,520000
323,650000
324,325000
325,420000
326,400000
327,254999
328,65000
329,351000
330,404000
331,185000
332,250000
333,60000
334,500000
335,85000
337,85000
338,265000
339,130000
340,480000
341,170000
342,275000
343,89000
344,170000
345,1090000
346,1100000
347,610000
348,335000
349,434999
350,3000000
351,390000
352,325000
353,640000
354,450000
355,400000
356,215000
357,570000
358,680000
359,325000
360,150000
361,690000
362,1550000
363,64000
364,250000
365,65000
366,550000
367,140000
368,300000
369,800000
370,2625000
371,5150000
372,3200000
373,503000
374,3800000
375,2000000
376,225000
377,740000
378,550000
379,750000
380,650000
381,625000
382,600000
383,450000
384,5400000
385,5500000
386,779000
387,645000
388,2475000
389,150000
391,500000
392,480000
393,535000
394,250000
395,300000
396,340000
397,340000
398,240000
399,1085000
400,750000
401,95000
402,409999
403,215000
404,1290000
405,150000
406,219000
407,325000
408,260000
409,2625000
410,5150000
411,3200000
412,503000
413,3800000
414,2000000
415,225000
416,740000
417,550000
418,750000
419,650000
420,625000
421,600000
422,450000
423,5400000
424,5500000
425,779000
426,645000
427,2475000
428,700000
429,950000
430,160000
431,409999
432,840000
433,450000
434,900000
435,570000
436,254999
437,130000
438,530000
439,520000
440,229999
441,81000
442,600000
443,409999
444,120000
445,320000
446,292000
447,390000
448,550000
449,385000
450,800000
451,675000
452,1525000
453,950000
454,610000
455,525000
456,700000
457,375000
458,580000
459,434999
460,350000
461,730000
462,600000
463,1050000
464,735000
465,1050000
466,420000
467,800000
468,2000000
469,600000
470,1900000
471,500000
472,200000
473,370000
474,260000
475,280000
476,610000
477,300000
478,140000
479,229999
480,200000
481,200000
482,560000
483,750000
484,585000
485,760000
486,430000
487,480000
488,643000
489,500000
490,425000
491,250000
492,285000
493,160000
494,250000
495,170000
496,409999
497,400000
498,700000
499,350000
500,660000
501,268000
502,270000
503,300000
504,450000
505,220000
506,250000
507,300000
508,88000
509,561000
510,755000
511,235000
512,165000
513,190000
514,110000
515,320000
517,540000
518,180000
519,270000
520,450000
521,450000
522,200000
523,425000
524,400000
525,125000
526,1600000
527,900000
528,450000
529,210000
